Income,Gender,Age,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,What is your marital status?,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be wise and unhappy, or unwise and happy?"
79000,Male,60,Independent,Strongly disapprove,Some college,Married,Unlikely,Real and Caused by People,5,Strongly Agree,Somewhat Agree,3,Yes,About Right,TRUE,Unwise and happy
32000,Male,64,Independent,Strongly disapprove,College degree,Separated,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,6,No,Too Low,FALSE,DK/REF
327000,Female,55,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,2,No,Too Low,TRUE,Wise and Unhappy
62000,Female,62,Republican,Strongly Approve,College degree,Married,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,5,No,Too Low,TRUE,Wise and Unhappy
180000,Female,64,Republican,Somewhat Approve,Some college,Widowed,Unlikely,Real but not Caused by People,0,DK/REF,Strongly Agree,1,Yes,About Right,TRUE,Unwise and happy
70000,Female,49,Independent,Strongly disapprove,Some college,In a relationship,Unlikely,Real but not Caused by People,4,Strongly Agree,Strongly Agree,0,Yes,About Right,TRUE,Unwise and happy
103000,Female,58,Republican,Strongly Approve,Some college,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Disagree,50,Yes,About Right,TRUE,Wise and Unhappy
20000,Female,60,DK/REF,Strongly Approve,High school,Married,Likely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,0,Yes,About Right,TRUE,Unwise and happy
57000,Male,47,Independent,Somewhat Approve,Graduate degree,Single,Likely,Real and Caused by People,1,Strongly Agree,Strongly Agree,5,No,Too Low,FALSE,Unwise and happy
90000,Female,55,DK/REF,DK/REF,DK/REF,Married,Unlikely,DK/REF,2,Somewhat Disagree,Somewhat Disagree,8,No,DK/REF,DK/REF,Unwise and happy
78000,Female,58,DK/REF,Strongly disapprove,Other,Married,Unlikely,Real and Caused by People,3,Strongly Disagree,Somewhat Agree,120,No,Too Low,FALSE,Wise and Unhappy
132000,Female,61,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,6,No,Too Low,FALSE,DK/REF
73000,Male,61,Republican,Neither approve nor disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,20,No,Too High,FALSE,Wise and Unhappy
42000,Female,57,Republican,Somewhat Approve,Graduate degree,Married,DK/REF,Not Real At All,0,Somewhat Agree,Strongly Agree,30,Yes,About Right,TRUE,Unwise and happy
21000,Female,69,Democrat,Strongly disapprove,High school,Separated,Likely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Disagree,2,No,About Right,FALSE,Unwise and happy
163000,Male,58,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,DK/REF,12,No,Too Low,TRUE,Wise and Unhappy
25000,Female,63,Independent,Strongly Approve,High school,Divorced,Unlikely,DK/REF,2,Strongly Agree,Strongly Agree,4,Yes,DK/REF,DK/REF,Wise and Unhappy
92000,Female,66,Republican,Strongly Approve,High school,In a relationship,Likely,Not Real At All,,Strongly Disagree,Strongly Disagree,2,Yes,Too High,TRUE,Unwise and happy
88000,Female,44,Independent,Strongly disapprove,High school,Married,Unlikely,Real but not Caused by People,5,Strongly Agree,Strongly Agree,0,Yes,Too Low,TRUE,Unwise and happy
22000,Male,70,Independent,Somewhat Approve,Graduate degree,In a relationship,Unlikely,Not Real At All,0,Strongly Agree,Strongly Agree,6,No,About Right,TRUE,Wise and Unhappy
43000,Male,63,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Disagree,5,No,About Right,FALSE,Unwise and happy
90000,Male,60,Republican,Strongly Approve,College degree,Married,Unlikely,Not Real At All,2,Strongly Disagree,Somewhat Agree,15,No,About Right,TRUE,Wise and Unhappy
47000,Female,60,Independent,Strongly disapprove,High school,Single,Unlikely,Real and Caused by People,2,Somewhat Disagree,Strongly Agree,6,Yes,Too Low,FALSE,Unwise and happy
120000,Male,52,Independent,Somewhat Approve,Graduate degree,Married,Unlikely,Real but not Caused by People,3,Strongly Disagree,Somewhat Agree,8,No,DK/REF,TRUE,Wise and Unhappy
10000,Female,38,Independent,Strongly Approve,High school,Married,DK/REF,Real and Caused by People,0,Somewhat Disagree,Strongly Agree,4,Yes,Too Low,TRUE,Unwise and happy
10000,Female,61,Independent,Strongly disapprove,Some college,In a relationship,Likely,Real and Caused by People,4,Somewhat Disagree,Strongly Disagree,10,Yes,Too High,FALSE,Unwise and happy
55000,Female,62,Independent,Strongly Approve,High school,Married,Likely,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,10,DK/REF,About Right,TRUE,DK/REF
113000,Male,40,Independent,Strongly Approve,Graduate degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,0,No,About Right,FALSE,Unwise and happy
137000,Female,40,Republican,Strongly Approve,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,15,Yes,About Right,FALSE,Wise and Unhappy
9000,Female,61,Republican,Somewhat Approve,College degree,Married,Unlikely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,25,Yes,Too Low,TRUE,Wise and Unhappy
37000,Female,68,Democrat,Strongly disapprove,High school,Widowed,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,1,No,About Right,TRUE,Unwise and happy
39000,Female,32,Democrat,Strongly disapprove,Some college,Married,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,30,No,Too Low,FALSE,Unwise and happy
13000,Female,55,Republican,Strongly Approve,Some college,Married,Unlikely,Real but not Caused by People,2,Somewhat Agree,Somewhat Agree,0,Yes,About Right,TRUE,Unwise and happy
47000,Female,58,Republican,Somewhat Approve,High school,Married,Likely,Real and Caused by People,0,Somewhat Disagree,Somewhat Disagree,0,No,About Right,TRUE,Unwise and happy
72000,Male,60,Independent,Strongly Approve,Some college,Married,Unlikely,Not Real At All,1,Somewhat Disagree,Somewhat Agree,40,No,About Right,FALSE,Wise and Unhappy
37000,Male,58,Independent,Strongly Approve,College degree,Married,Likely,Not Real At All,3,Somewhat Agree,Strongly Agree,60,Yes,About Right,TRUE,Unwise and happy
69000,Male,55,Independent,Strongly Approve,Some college,Widowed,Unlikely,Not Real At All,4,Strongly Disagree,DK/REF,7,No,Too High,TRUE,Wise and Unhappy
208000,Male,55,Independent,Strongly Approve,Graduate degree,Single,Unlikely,Not Real At All,4,Somewhat Disagree,Strongly Agree,10,No,About Right,TRUE,Unwise and happy
75000,Female,59,Republican,Strongly Approve,Some college,Married,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,5,Yes,About Right,TRUE,Wise and Unhappy
30000,Female,57,DK/REF,Somewhat disapprove,College degree,Divorced,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,17,No,Too Low,TRUE,Wise and Unhappy
23000,Male,62,Democrat,Strongly disapprove,High school,Divorced,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,5,No,About Right,FALSE,Unwise and happy
8000,Male,34,Independent,Strongly disapprove,Some college,Single,DK/REF,Real and Caused by People,0,Strongly Disagree,Strongly Agree,3,No,Too Low,TRUE,Unwise and happy
114000,Male,40,Republican,Somewhat Approve,Graduate degree,Married,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,150,No,About Right,FALSE,Wise and Unhappy
112000,Female,33,Democrat,Strongly disapprove,High school,Single,DK/REF,DK/REF,,DK/REF,DK/REF,0,Yes,DK/REF,DK/REF,Unwise and happy
129000,Female,45,Democrat,Strongly disapprove,Some college,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,6,Yes,About Right,TRUE,DK/REF
94000,Male,51,Democrat,Strongly disapprove,High school,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,10,No,Too Low,TRUE,Wise and Unhappy
129000,Male,63,Republican,Strongly Approve,Graduate degree,Widowed,Unlikely,DK/REF,0,Strongly Agree,Somewhat Disagree,10,No,DK/REF,FALSE,Unwise and happy
177000,Male,63,Republican,Strongly Approve,Some college,Divorced,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,2,Yes,About Right,TRUE,Unwise and happy
30000,Female,62,DK/REF,Strongly disapprove,Some college,Married,DK/REF,Real and Caused by People,0,Strongly Disagree,Strongly Disagree,100,Yes,Too High,FALSE,Wise and Unhappy
12000,Male,35,DK/REF,Somewhat Approve,College degree,Divorced,Likely,Real and Caused by People,2,Neither Agree nor Disagree,Somewhat Agree,4,No,Too Low,TRUE,Unwise and happy
135000,Male,57,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,Too Low,TRUE,Wise and Unhappy
87000,Male,50,Independent,Somewhat Approve,High school,Married,Unlikely,Not Real At All,1,Somewhat Agree,Somewhat Disagree,6,Yes,Too Low,TRUE,Unwise and happy
52000,Male,65,Independent,Somewhat disapprove,College degree,Widowed,Unlikely,Real and Caused by People,0,Strongly Agree,DK/REF,2,No,Too Low,TRUE,Wise and Unhappy
86000,Male,55,DK/REF,Strongly disapprove,High school,Single,DK/REF,Real and Caused by People,3,Strongly Agree,Strongly Agree,10,No,Too Low,TRUE,Wise and Unhappy
93000,Female,51,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,3,Yes,Too Low,TRUE,Unwise and happy
183000,Female,80,Democrat,Strongly disapprove,College degree,Widowed,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,10,No,About Right,FALSE,Wise and Unhappy
169000,Female,61,Independent,Strongly Approve,College degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,5,No,About Right,TRUE,DK/REF
13000,Other,22,DK/REF,DK/REF,College degree,Married,Unlikely,Real and Caused by People,5,Strongly Agree,Somewhat Agree,6,Yes,About Right,TRUE,Unwise and happy
102000,Female,61,Democrat,Strongly disapprove,Graduate degree,Single,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,8,Yes,About Right,FALSE,Wise and Unhappy
71000,Male,60,Independent,Neither approve nor disapprove,Some college,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,4,No,Too Low,FALSE,Unwise and happy
101000,Male,54,Republican,Strongly Approve,College degree,Married,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,12,No,Too Low,TRUE,Unwise and happy
198000,Female,54,Democrat,Strongly disapprove,College degree,Separated,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Agree,10,Yes,Too Low,FALSE,Unwise and happy
153000,Female,60,Republican,Somewhat Approve,College degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,3,Yes,About Right,TRUE,Unwise and happy
43000,Male,56,Democrat,Strongly disapprove,High school,Single,Likely,Real and Caused by People,4,Strongly Disagree,Strongly Agree,20,No,About Right,TRUE,Unwise and happy
5000,Male,64,Democrat,Somewhat disapprove,High school,Single,Unlikely,Not Real At All,2,Somewhat Disagree,Somewhat Disagree,6,No,About Right,FALSE,Unwise and happy
61000,Female,29,Democrat,Strongly disapprove,College degree,Single,Likely,Real and Caused by People,0,Somewhat Disagree,Strongly Disagree,0,No,Too High,TRUE,Wise and Unhappy
42000,Female,20,Democrat,Strongly disapprove,Some college,Single,Unlikely,Real and Caused by People,4,Strongly Disagree,Strongly Agree,15,Yes,Too High,FALSE,Wise and Unhappy
65000,Male,28,Democrat,Somewhat Approve,Some college,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Disagree,100,Yes,DK/REF,TRUE,Unwise and happy
203000,Male,50,Republican,Somewhat Approve,Graduate degree,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,70,No,Too High,FALSE,Unwise and happy
168000,Female,58,Independent,Strongly disapprove,Other,In a relationship,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,4,Yes,About Right,FALSE,Unwise and happy
130000,Female,36,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,20,Yes,Too Low,FALSE,Unwise and happy
,Male,43,Democrat,Strongly disapprove,High school,Single,Unlikely,Not Real At All,5,Strongly Disagree,Strongly Agree,0,No,About Right,TRUE,Unwise and happy
,Female,63,Republican,Somewhat Approve,College degree,Widowed,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,,Yes,About Right,TRUE,Wise and Unhappy
,Male,45,Independent,Somewhat Approve,College degree,Single,Unlikely,Real and Caused by People,,Somewhat Agree,Somewhat Agree,2,Yes,Too Low,TRUE,Wise and Unhappy
,Female,78,Independent,Strongly disapprove,Some college,Widowed,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,100,Yes,Too Low,FALSE,Wise and Unhappy
,Male,18,Independent,Strongly disapprove,High school,Single,Likely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,3,No,About Right,TRUE,Wise and Unhappy
,Female,68,Independent,Somewhat Approve,Graduate degree,Widowed,Unlikely,Not Real At All,2,Somewhat Agree,Strongly Agree,30,No,DK/REF,FALSE,Unwise and happy
105000,Female,64,Republican,Strongly Approve,Graduate degree,Married,Unlikely,Real but not Caused by People,3,DK/REF,Somewhat Agree,15,No,DK/REF,DK/REF,DK/REF
,Male,71,Republican,Strongly Approve,College degree,Single,Unlikely,Not Real At All,4,Strongly Disagree,Strongly Agree,4,No,Too High,FALSE,Unwise and happy
,Female,66,Democrat,Strongly disapprove,Some college,Divorced,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,Yes,Too Low,FALSE,Wise and Unhappy
,Male,31,Independent,Somewhat Approve,High school,Single,Unlikely,Not Real At All,3,Somewhat Disagree,Somewhat Agree,1,Yes,Too High,TRUE,Wise and Unhappy
,Male,60,Republican,Strongly Approve,College degree,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,5,No,About Right,FALSE,Wise and Unhappy
,Male,39,Independent,Strongly Approve,Graduate degree,Married,Unlikely,Not Real At All,1,Strongly Disagree,Strongly Disagree,1,Yes,About Right,TRUE,Unwise and happy
,Male,67,Independent,Somewhat disapprove,College degree,Widowed,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Disagree,2,No,Too Low,TRUE,Unwise and happy
,Male,20,Independent,Somewhat Approve,Some college,Single,Unlikely,Real but not Caused by People,1,Somewhat Agree,Somewhat Agree,25,No,DK/REF,FALSE,Wise and Unhappy
,Female,57,Democrat,Strongly disapprove,College degree,Divorced,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,Too Low,FALSE,Wise and Unhappy
,Male,29,Independent,Strongly Approve,High school,Married,Unlikely,Real but not Caused by People,0,Strongly Disagree,Strongly Agree,0,Yes,About Right,TRUE,Unwise and happy
,Male,61,Independent,Somewhat Approve,Some college,Married,Unlikely,Real but not Caused by People,0,Strongly Disagree,Somewhat Agree,7,Yes,DK/REF,TRUE,Wise and Unhappy
,Female,66,Democrat,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,DK/REF,TRUE,Unwise and happy
,Male,63,Independent,Strongly disapprove,College degree,Married,Likely,Real and Caused by People,2,Strongly Agree,Strongly Agree,700,No,Too Low,FALSE,Wise and Unhappy
,Female,62,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,4,Yes,Too Low,FALSE,Wise and Unhappy
,Female,60,Independent,Strongly Approve,High school,Divorced,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,50,Yes,Too Low,TRUE,Unwise and happy
,Male,21,Democrat,Strongly disapprove,Graduate degree,Single,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,17,No,Too Low,FALSE,Unwise and happy
,Female,61,Republican,Strongly Approve,College degree,Married,Unlikely,Real but not Caused by People,5,Somewhat Agree,Strongly Agree,15,Yes,Too Low,DK/REF,Wise and Unhappy
,Female,72,Independent,Strongly disapprove,College degree,In a relationship,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,4,No,Too Low,TRUE,DK/REF
,Female,28,Republican,Strongly Approve,College degree,Married,Unlikely,Real but not Caused by People,5,Strongly Agree,Strongly Agree,15,Yes,Too Low,FALSE,Unwise and happy
,Male,29,Independent,Somewhat disapprove,College degree,Single,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,2,No,About Right,FALSE,Unwise and happy
,Male,33,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,4,No,Too Low,DK/REF,Wise and Unhappy
,Female,32,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,7,Yes,Too Low,TRUE,Unwise and happy
,Female,51,Independent,Somewhat Approve,High school,Single,Unlikely,Real and Caused by People,1,Somewhat Disagree,Somewhat Disagree,0,No,DK/REF,TRUE,Unwise and happy
,Male,41,Independent,Strongly Approve,High school,In a relationship,Unlikely,Not Real At All,4,Strongly Disagree,Strongly Disagree,0,Yes,About Right,FALSE,Unwise and happy
,Male,59,Republican,Strongly Approve,High school,Married,Unlikely,Not Real At All,0,Neither Agree nor Disagree,Strongly Agree,1,No,Too High,TRUE,Unwise and happy
,Male,70,Republican,Strongly Approve,Graduate degree,Divorced,Unlikely,Real but not Caused by People,1,Somewhat Disagree,Strongly Agree,5,Yes,About Right,FALSE,Wise and Unhappy
,Female,65,Independent,Strongly Approve,Graduate degree,Married,Likely,Not Real At All,2,Somewhat Agree,Strongly Agree,9,DK/REF,DK/REF,TRUE,Wise and Unhappy
,Female,60,Independent,Strongly Approve,Some college,Married,Likely,Not Real At All,2,Somewhat Disagree,Strongly Disagree,14,Yes,Too High,FALSE,Unwise and happy
,Male,32,Independent,Neither approve nor disapprove,High school,Married,Unlikely,Real and Caused by People,5,Strongly Disagree,Strongly Agree,5,Yes,DK/REF,TRUE,Wise and Unhappy
,Male,36,Democrat,Strongly disapprove,High school,Single,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,3,No,Too Low,FALSE,Wise and Unhappy
,Other,60,Independent,Strongly Approve,Other,Single,Likely,Real and Caused by People,,Strongly Disagree,DK/REF,0,Yes,About Right,TRUE,DK/REF
,Female,61,Democrat,Somewhat Approve,College degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,Yes,About Right,FALSE,Wise and Unhappy
,Male,23,Independent,Strongly disapprove,High school,Single,Unlikely,Real and Caused by People,4,Strongly Agree,Somewhat Disagree,70,Yes,Too Low,TRUE,Unwise and happy
,Female,55,Democrat,Strongly disapprove,College degree,Separated,Unlikely,Real and Caused by People,1,Strongly Disagree,Somewhat Disagree,3,Yes,Too High,FALSE,Unwise and happy
,Female,58,Democrat,Somewhat Approve,Some college,Widowed,DK/REF,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,20,Yes,About Right,TRUE,Unwise and happy
,Male,24,Republican,Strongly Approve,Graduate degree,Single,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Disagree,5,No,About Right,FALSE,Wise and Unhappy
,Female,34,DK/REF,DK/REF,College degree,Married,Unlikely,Not Real At All,1,Somewhat Disagree,Strongly Agree,3,Yes,Too Low,TRUE,Unwise and happy
,Female,77,DK/REF,DK/REF,College degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Disagree,2,No,DK/REF,DK/REF,Unwise and happy
,Male,36,Independent,Somewhat disapprove,Some college,Married,Unlikely,Real and Caused by People,,Somewhat Agree,Somewhat Disagree,5,Yes,Too Low,FALSE,Wise and Unhappy
,Male,19,Republican,Strongly Approve,Graduate degree,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,Yes,About Right,FALSE,Wise and Unhappy
,Female,54,Democrat,Strongly Approve,Some college,Divorced,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,5,Yes,Too Low,TRUE,Unwise and happy
,Female,23,Republican,DK/REF,Some college,In a relationship,Unlikely,Real and Caused by People,5,Somewhat Agree,Somewhat Agree,30,Yes,Too Low,TRUE,Unwise and happy
,Female,19,Independent,Somewhat disapprove,Some college,In a relationship,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,7,Yes,Too High,TRUE,Unwise and happy
,Male,67,Independent,Strongly Approve,College degree,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,0,DK/REF,Too Low,DK/REF,Unwise and happy
,Female,38,Independent,Strongly disapprove,Some college,Married,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,12,No,Too Low,FALSE,Wise and Unhappy
,Female,99,DK/REF,Strongly Approve,College degree,Single,Unlikely,Not Real At All,4,Somewhat Agree,Strongly Disagree,25,No,Too Low,FALSE,DK/REF
,Male,25,Democrat,Strongly disapprove,Graduate degree,In a relationship,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,23,No,Too Low,FALSE,Wise and Unhappy
,Female,42,Republican,Strongly Approve,College degree,Married,Unlikely,Real and Caused by People,3,Somewhat Disagree,Strongly Disagree,6,Yes,Too Low,TRUE,Wise and Unhappy
,Female,71,Democrat,Strongly disapprove,Graduate degree,Widowed,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,13,No,Too Low,FALSE,Wise and Unhappy
,Male,48,DK/REF,Strongly disapprove,Some college,Divorced,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,1,No,Too Low,TRUE,Wise and Unhappy
69000,Male,62,Democrat,Strongly disapprove,High school,Married,DK/REF,Real and Caused by People,0,Somewhat Agree,Strongly Agree,4,No,DK/REF,TRUE,Wise and Unhappy
,Other,82,Independent,DK/REF,High school,Single,DK/REF,Real and Caused by People,,DK/REF,Somewhat Agree,,Yes,DK/REF,DK/REF,DK/REF
,Other,26,DK/REF,Strongly Approve,Graduate degree,Separated,Likely,Not Real At All,5,Somewhat Agree,Neither Agree nor Disagree,55,Yes,DK/REF,FALSE,Wise and Unhappy
,Female,65,Democrat,Strongly disapprove,College degree,Divorced,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,70,Yes,Too Low,FALSE,Wise and Unhappy
,Male,58,DK/REF,Neither approve nor disapprove,Graduate degree,Single,Unlikely,Not Real At All,0,DK/REF,Strongly Disagree,12,No,DK/REF,DK/REF,DK/REF
,Male,72,Independent,DK/REF,Some college,Single,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,2,No,Too Low,TRUE,Wise and Unhappy
,Male,40,DK/REF,Strongly Approve,Graduate degree,In a relationship,Unlikely,Real but not Caused by People,0,DK/REF,Somewhat Disagree,3,No,Too Low,TRUE,DK/REF
,Male,42,Independent,Neither approve nor disapprove,Graduate degree,Single,Likely,Real but not Caused by People,1,Somewhat Agree,Somewhat Agree,4,No,About Right,FALSE,DK/REF
,Male,22,DK/REF,Somewhat Approve,High school,Single,Unlikely,Real and Caused by People,2,Somewhat Disagree,Somewhat Disagree,10,Yes,Too Low,FALSE,Wise and Unhappy
,Male,58,Independent,Strongly Approve,College degree,Separated,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,0,Yes,Too Low,DK/REF,Wise and Unhappy
,Female,20,Independent,Somewhat disapprove,Some college,Single,Likely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,5,Yes,Too Low,FALSE,Unwise and happy
,Male,42,Democrat,Somewhat Approve,College degree,Single,Likely,Real and Caused by People,4,Somewhat Agree,Strongly Disagree,20,No,Too Low,TRUE,Unwise and happy
,Male,23,Independent,DK/REF,Some college,Married,Likely,Real and Caused by People,2,Strongly Agree,Strongly Agree,0,No,Too Low,TRUE,Wise and Unhappy
,DK/REF,62,Republican,Strongly Approve,Graduate degree,Married,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,50,No,Too High,TRUE,Unwise and happy
41000,Female,53,Independent,Strongly Approve,Some college,Married,Unlikely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,25,Yes,Too Low,FALSE,Wise and Unhappy
18000,Female,83,Republican,Somewhat disapprove,Some college,Widowed,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,0,No,About Right,TRUE,Wise and Unhappy
152000,Male,35,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,10,No,About Right,TRUE,Unwise and happy
73000,Female,53,Independent,Strongly Approve,Some college,Married,Likely,Real but not Caused by People,0,Somewhat Agree,Strongly Disagree,5,No,About Right,TRUE,Unwise and happy
42000,Female,40,Independent,Somewhat Approve,College degree,Single,Likely,Not Real At All,3,Somewhat Agree,Strongly Agree,0,Yes,DK/REF,FALSE,Unwise and happy
68000,Female,48,Democrat,Somewhat disapprove,Some college,Married,Unlikely,Not Real At All,2,Somewhat Disagree,Strongly Agree,4,No,About Right,FALSE,Wise and Unhappy
162000,Other,48,Independent,Strongly Approve,Graduate degree,In a relationship,Unlikely,Not Real At All,2,Somewhat Agree,Somewhat Agree,3,Yes,About Right,TRUE,Unwise and happy
36000,Female,65,Republican,Strongly Approve,College degree,Divorced,Unlikely,Not Real At All,,Somewhat Disagree,Strongly Agree,10,Yes,About Right,DK/REF,Wise and Unhappy
10000,Female,43,Democrat,Strongly disapprove,College degree,Married,Likely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,20,No,About Right,TRUE,Wise and Unhappy
48000,Female,23,Democrat,Strongly disapprove,Some college,Single,Unlikely,DK/REF,0,Somewhat Agree,Somewhat Disagree,20,Yes,DK/REF,DK/REF,Wise and Unhappy
126000,Other,42,Independent,Strongly Approve,Graduate degree,Single,Likely,Not Real At All,2,Somewhat Agree,Somewhat Agree,7,Yes,Too Low,FALSE,Wise and Unhappy
9000,Female,70,Democrat,Strongly disapprove,Other,Married,DK/REF,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,40,No,Too High,TRUE,Unwise and happy
122000,Male,65,DK/REF,Strongly disapprove,Some college,Widowed,Unlikely,DK/REF,0,Somewhat Agree,Somewhat Agree,3,No,Too Low,TRUE,Wise and Unhappy
163000,Female,47,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,3,No,Too Low,TRUE,Unwise and happy
38000,Male,45,Republican,Strongly Approve,College degree,Married,Unlikely,Real but not Caused by People,2,Strongly Agree,Strongly Agree,7,No,DK/REF,FALSE,Unwise and happy
78000,Female,38,Independent,Strongly disapprove,High school,Married,DK/REF,Not Real At All,1,Strongly Disagree,Strongly Agree,0,Yes,Too Low,TRUE,Wise and Unhappy
500000,Male,46,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,2,Yes,Too Low,FALSE,Wise and Unhappy
77000,Female,51,Republican,DK/REF,Graduate degree,In a relationship,Likely,DK/REF,1,Strongly Agree,Strongly Agree,,Yes,Too High,DK/REF,DK/REF
103000,Male,51,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,4,No,Too Low,FALSE,Wise and Unhappy
